Country,Region,Area (sq. mi.),Coastline (coast/area ratio),Population,Net migration,Birthrate,Deathrate,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Agriculture,Industry,Service,Climate,Arable (%),Crops (%),Other (%)
Afghanistan ,ASIA (EX. NEAR EAST)         ,647500,0.0,31056997,23.06,46.6,20.34,163.07,700.0,36.0,3.2,0.38,0.24,0.38,1.0,12.13,0.22,87.65
Albania ,EASTERN EUROPE                     ,28748,1.26,3581655,-4.93,15.11,5.22,21.52,4500.0,86.5,71.2,0.232,0.188,0.579,3.0,21.09,4.42,74.49
Algeria ,NORTHERN AFRICA                    ,2381740,0.04,32930091,-0.39,17.14,4.61,31.0,6000.0,70.0,78.1,0.101,0.6,0.298,1.0,3.22,0.25,96.53
American Samoa ,OCEANIA                            ,199,58.29,57794,-20.71,22.46,3.27,9.27,8000.0,97.0,259.5,,,,2.0,10.0,15.0,75.0
Andorra ,WESTERN EUROPE                     ,468,0.0,71201,6.6,8.71,6.25,4.05,19000.0,100.0,497.2,,,,3.0,2.22,0.0,97.78
Angola ,SUB-SAHARAN AFRICA                 ,1246700,0.13,12127071,0.0,45.11,24.2,191.19,1900.0,42.0,7.8,0.096,0.658,0.246,,2.41,0.24,97.35
Anguilla ,LATIN AMER. & CARIB    ,102,59.8,13477,10.76,14.17,5.34,21.03,8600.0,95.0,460.0,0.04,0.18,0.78,2.0,0.0,0.0,100.0
Antigua & Barbuda ,LATIN AMER. & CARIB    ,443,34.54,69108,-6.15,16.93,5.37,19.46,11000.0,89.0,549.9,0.038,0.22,0.743,2.0,18.18,4.55,77.27
Argentina ,LATIN AMER. & CARIB    ,2766890,0.18,39921833,0.61,16.73,7.55,15.18,11200.0,97.1,220.4,0.095,0.358,0.547,3.0,12.31,0.48,87.21
Armenia ,C.W. OF IND. STATES ,29800,0.0,2976372,-6.47,12.07,8.23,23.28,3500.0,98.6,195.7,0.239,0.343,0.418,4.0,17.55,2.3,80.15
Aruba ,LATIN AMER. & CARIB    ,193,35.49,71891,0.0,11.03,6.68,5.89,28000.0,97.0,516.1,0.004,0.333,0.663,2.0,10.53,0.0,89.47
Australia ,OCEANIA                            ,7686850,0.34,20264082,3.98,12.14,7.51,4.69,29000.0,100.0,565.5,0.038,0.262,0.7,1.0,6.55,0.04,93.41
Austria ,WESTERN EUROPE                     ,83870,0.0,8192880,2.0,8.74,9.76,4.66,30000.0,98.0,452.2,0.018,0.304,0.678,3.0,16.91,0.86,82.23
Azerbaijan ,C.W. OF IND. STATES ,86600,0.0,7961619,-4.9,20.74,9.75,81.74,3400.0,97.0,137.1,0.141,0.457,0.402,1.0,19.63,2.71,77.66
"Bahamas, The ",LATIN AMER. & CARIB    ,13940,25.41,303770,-2.2,17.57,9.05,25.21,16700.0,95.6,460.6,0.03,0.07,0.9,2.0,0.8,0.4,98.8
Bahrain ,NEAR EAST                          ,665,24.21,698585,1.05,17.8,4.14,17.27,16900.0,89.1,281.3,0.005,0.387,0.608,1.0,2.82,5.63,91.55
Bangladesh ,ASIA (EX. NEAR EAST)         ,144000,0.4,147365352,-0.71,29.8,8.27,62.6,1900.0,43.1,7.3,0.199,0.198,0.603,2.0,62.11,3.07,34.82
Barbados ,LATIN AMER. & CARIB    ,431,22.51,279912,-0.31,12.71,8.67,12.5,15700.0,97.4,481.9,0.06,0.16,0.78,2.0,37.21,2.33,60.46
Belarus ,C.W. OF IND. STATES ,207600,0.0,10293011,2.54,11.16,14.02,13.37,6100.0,99.6,319.1,0.093,0.316,0.591,4.0,29.55,0.6,69.85
Belgium ,WESTERN EUROPE                     ,30528,0.22,10379067,1.23,10.38,10.27,4.68,29100.0,98.0,462.6,0.01,0.24,0.749,3.0,23.28,0.4,76.32
Belize ,LATIN AMER. & CARIB    ,22966,1.68,287730,0.0,28.84,5.72,25.69,4900.0,94.1,115.7,0.142,0.152,0.612,2.0,2.85,1.71,95.44
Benin ,SUB-SAHARAN AFRICA                 ,112620,0.11,7862944,0.0,38.85,12.22,85.0,1100.0,40.9,9.7,0.316,0.138,0.546,2.0,18.08,2.4,79.52
Bermuda ,NORTHERN AMERICA                   ,53,194.34,65773,2.49,11.4,7.74,8.53,36000.0,98.0,851.4,0.01,0.1,0.89,2.0,20.0,0.0,80.0
Bhutan ,ASIA (EX. NEAR EAST)         ,47000,0.0,2279723,0.0,33.65,12.7,100.44,1300.0,42.2,14.3,0.258,0.379,0.363,2.0,3.09,0.43,96.48
Bolivia ,LATIN AMER. & CARIB    ,1098580,0.0,8989046,-1.32,23.3,7.53,53.11,2400.0,87.2,71.9,0.128,0.352,0.52,1.5,2.67,0.19,97.14
Bosnia & Herzegovina ,EASTERN EUROPE                     ,51129,0.04,4498976,0.31,8.77,8.27,21.05,6100.0,82.8,215.4,0.142,0.308,0.55,4.0,13.6,2.96,83.44
Botswana ,SUB-SAHARAN AFRICA                 ,600370,0.0,1639833,0.0,23.08,29.5,54.58,9000.0,79.8,80.5,0.024,0.469,0.507,1.0,0.65,0.01,99.34
Brazil ,LATIN AMER. & CARIB    ,8511965,0.09,188078227,-0.03,16.56,6.17,29.61,7600.0,86.4,225.3,0.084,0.4,0.516,2.0,6.96,0.9,92.15
British Virgin Is. ,LATIN AMER. & CARIB    ,153,52.29,23098,10.01,14.89,4.42,18.05,16000.0,97.8,506.5,0.018,0.062,0.92,2.0,20.0,6.67,73.33
Brunei ,ASIA (EX. NEAR EAST)         ,5770,2.79,379444,3.59,18.79,3.45,12.61,18600.0,93.9,237.2,0.036,0.561,0.403,2.0,0.57,0.76,98.67
Bulgaria ,EASTERN EUROPE                     ,110910,0.32,7385367,-4.58,9.65,14.27,20.55,7600.0,98.6,336.3,0.093,0.304,0.603,3.0,40.02,1.92,58.06
Burkina Faso ,SUB-SAHARAN AFRICA                 ,274200,0.0,13902972,0.0,45.62,15.6,97.57,1100.0,26.6,7.0,0.322,0.196,0.482,2.0,14.43,0.19,85.38
Burma ,ASIA (EX. NEAR EAST)         ,678500,0.28,47382633,-1.8,17.91,9.83,67.24,1800.0,85.3,10.1,0.564,0.082,0.353,2.0,15.19,0.97,83.84
Burundi ,SUB-SAHARAN AFRICA                 ,27830,0.0,8090068,-0.06,42.22,13.46,69.29,600.0,51.6,3.4,0.463,0.203,0.334,2.0,35.05,14.02,50.93
