user,id,text,retweet_count
MrsNECJ,1058370850448179203,"RT @NormansMusic: It's another #FREEBIEFRIDAY.  This week you'll need your thinking cap 🤓

To #win a pack of 40 egg shakers - worth over £3…",60
kir1975,1058370783536467968,"RT @NormansMusic: It's another #FREEBIEFRIDAY.  This week you'll need your thinking cap 🤓

To #win a pack of 40 egg shakers - worth over £3…",60
agarwal_fc,1058370888574423040,"RT @telugufilmnagar: Rain or Shine... Smile on!😊
#friyay 
@MsKajalAggarwal 💕
#TollywoodActress #TeluguFilmNagar https://t.co/Y2REOGD8WL",34
fsmsmart,1058370853828784128,RT @fsmsmart: Find out how a Portfolio-conscious Investor works. Find out the other type of investors in this article: https://t.co/62hn5Ax…,8
RemyKyd,1058370762526969857,RT @FOURPAWSUSA: A must see! #Bear Napa enjoying his 1st snow at our Arosa Bear Sanctuary. You make these 2nd chances &amp; happy moments possi…,6
Helenchristina_,1058370898711834625,"RT @FrshBakedDisney: We made it to Friday! Happy Friday, y’all. #Friyay https://t.co/VHr2ccD3tr",5
TweetYouUK,1058370826918080513,"RT @letterbox_lux: 10% off with discount code : LLUX1

Visit https://t.co/ePtdbOOY9s to learn more 

#friyay #ATSocialMedia https://t.co/8l…",3
fsmsmart,1058370889149046784,"RT @fsmsmart: When investing money online, you need to learn the basics. here are the great tips in investing money online https://t.co/WCW…",1
DanWinterSCPD,1058370797675274240,RT @YannethContrada: It’s #friyay and we have our 🍩 on and ready to give you a coupon for a free ☕️ with any donation to @SONorCal @Fremont…,1
JayneCartwright,1058370808664547328,@charityretailco @CharityRetail I can’t wait to hear all about it #friyay #FridayMotivation,0
Goddess2Liberty,1058370787244171264,The whole time @kanyewest was standing behind @HillaryClinton she thought he was @Diddy #ye v. #Diddy… https://t.co/0NA21YgJkq,0
Mycroft_Masada,1058370775252717568,TODAY IS THE LAST DAY OF EARLY VOTING IN MY HOME STATE - please support #YesOn3 for #TransLawMA wherever you live!… https://t.co/8xP5akm9JU,0
smorgan63371112,1058370759561752576,#Friyay #assholedrivers  #trailerhitchbitch https://t.co/T10pxkThJl,0
DetroitMercyRec,1058370688682283009,"$2 Soup Day!
HIIT Day!
Friyay! https://t.co/Gquhq6OeAy",0
monieneverlies,1058370664858447872,Friyay .. https://t.co/ygHkdVWgQx,0
