,Migrant remittance outflows (US$ million),1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
0,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.15830959000002,324.334602,328.3978494,257.60184795,193.47118279000003,281.8661563,243.51601665999996,144.052292,102.474432
1,Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1357281,4.8637404,6.511798046,26.53213203,9.94,15.893217470000002,10.042592832,24.181689035,21.209311974,43.505848113,190.61226887,178.67772704,153.34,147.13
2,Algeria,,,,,,,,83.920974,113.0,131.0,165.0,150.0,126.0,157.0,141.0,131.0,101.0,82.272423,53.256539,38.377835,31.481969,22.032304,,,,,,,,,,,,,,27.0,35.0,48.863732649999996,26.78254516,45.702405840000004,27.97137575,30.901604940000002,44.242618920000005,38.7158102,52.84956417,74.82592,
3,American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Angola,,,,,,,,,,,,,,,,79.0,89.0,77.0,71.0,104.0,150.0,124.5,121.637,132.9,148.9,209.275,174.091,179.96,202.12,263.26,266.43,216.23,223.0,229.92097,297.0,214.9052159,412.666785,602.6714513,669.453676,715.9620157999999,714.458886,564.2615417000001,523.1989547000001,670.2787402,2746.6158731,1252.908992,
6,Antigua and Barbuda,,,,,,,,,,,,,,,,,11.1481481,10.925926,4.3148149,9.474074100000001,6.311111100000001,,,10.981481,8.396296300000001,7.8592593100000006,2.0518519,1.1111111,1.0851852,1.5818519,1.5581481000000001,1.5644444,1.4114815,1.4892926000000002,1.566737,1.670140741,1.8371548149999999,2.13110037,2.3676522220000003,2.122362963,2.06696,2.047116296,2.157660741,2.22244815,,,
7,Argentina,,,,,,,,,16.0,28.0,36.0,27.0,18.0,19.0,22.0,18.0,20.0,21.0,,,,,142.4,163.3,176.5,194.9,207.1,231.9,246.9,250.0,268.2,255.9,119.55,180.04,234.92,314.01,355.57,462.54,630.14,767.0340641,1037.7654457,1137.0545055999999,979.2059223,893.9934866,743.1489351,685.001376,833.445536
8,Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,5.34,3.21,12.35,4.7,20.536,24.0538,26.912,137.907,207.36905812,182.05993321,238.83273065,223.59746687999998,180.49451584,227.42987638,300.3941935,314.78869180000004,355.2978613,390.5899787999999,363.78848,358.015504
9,Aruba,,,,,,,,,,,,,,,,,,,,,,20.279329699999998,7.094972,7.0949721,8.1005586,8.547486,7.932960879999999,10.55865921,16.592178529999998,32.4078214,48.776536840000006,49.13407814,51.8379892,60.150837100000004,61.0279332,61.930744935999996,71.864171255,73.072625699,75.642458103,72.960893859,64.916201113,63.910614524,67.82122905,66.59217876999999,70.22346369,74.9720685,
10,Australia,66.080011,83.962072,122.832305,194.380468,213.19839,221.955414,211.998207,209.027446,246.848771,274.383186,304.0,365.0,365.0,381.0,403.0,312.0,292.0,341.0,428.0,555.0,674.0,653.0,565.0,533.0,587.0,701.0,872.0,951.0,966.0,1055.0,1053.0,1059.0,1219.0,1777.0,2253.0,1531.0792162,2051.2272190999997,2980.8708743,3366.4270266999997,3224.4011814,4655.4613961000005,6597.638172,7288.016963,6966.095311,6646.922776,6013.698752,6376.759104
11,Austria,24.6923072,46.5966974,98.605589,182.0855804,271.46229489999996,244.0662988,232.59680469999998,238.989416,187.121684,231.558022,334.355184,285.897341,265.973598,214.842139,195.0964,190.024231,224.234903,229.050319,251.1343,302.037571,319.940137,415.598208,206.0,289.0,292.0,1485.0,1452.0,1303.0,1319.0,1370.0,1298.0,1422.0,1518.0,1874.0,2226.0,2119.578269,2301.2578529,2592.5611581999997,2985.151474,2906.772817,2990.6331364000002,3620.474705,3451.9747909000002,3895.8578363,4410.151058,3885.593728,4128.131712
12,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,9.31,14.861,19.039,30.272,77.03,100.962,141.882,234.678,169.284,200.746,239.397,274.348,404.535,567.345,638.101,953.589,1279.63,2072.681,1902.602,2031.324,1293.019008,740.236016
13,"Bahamas, The",,,,,,,26.5,29.2,38.9,27.2,41.7,30.5,35.2,26.7,32.4,33.7,32.2,39.5,47.4,39.7,46.4,55.1,38.6,36.7,39.6,44.2,57.6,49.7,51.0,61.6,72.6,74.95,82.19973,100.12,119.25,83.96435,100.29,94.99,65.92482,63.34,88.04,119.727,139.704,138.725,150.81924098,178.800144,193.848524
14,Bahrain,,,,,,263.359039,292.934456,347.0,449.0,322.549169,329.755909,368.0,373.0,345.0,384.0,778.0,716.0,673.0,669.0,694.0,332.0,369.0,336.0,396.0,431.0,500.0,559.0,635.0,725.0,856.0,1010.0,1290.0,872.0,1080.0,1120.0,1223.404255,1530.851064,1482.771277,1774.489021,1390.957447,1641.755319,2050.0,2074.468085,2165.957447,2364.361702,,
15,Bangladesh,,,,,,,0.72044268,0.5172987800000001,0.26649179,0.19512969,0.39200240000000003,0.22306671,0.13317151000000002,0.16251128,0.1964707,0.41530556,,,,,,,,,,,0.79050663,1.71424957,2.5572656,3.7048572,4.3782167,3.6997068,5.734841,7.068562200000001,7.743207699999999,4.9637470619999995,3.3222095089999994,2.8098322423,14.330657115000001,7.791556369,9.418584307,11.612731706,11.741740257,19.553597149999998,32.52136143,32.102747,41.76129325
16,Barbados,0.55,0.35445261,0.41638892,0.8166513000000001,0.43833354999999996,0.39626194,0.1,0.65,0.65,0.75,0.7,0.8,0.55,0.5,0.85,0.75,0.8,4.5,3.65,7.0,6.25,7.7,8.8,9.55,11.25,15.45,20.35,16.25,17.7,18.95,19.15,20.3,20.1345,21.713,18.25,40.794146700000006,35.778093,55.28671296,39.018966670000005,37.17001589,34.807274525,56.726261539999996,36.325463323,46.365999239999994,,,
17,Belarus,,,,,,,,,,,,,,,,,,,,,,,,3.5,17.0,11.9,191.6,140.7,111.1,96.7,58.4,76.7,67.7,65.0,81.6,52.2,70.4,103.2,171.0,133.0,115.7,133.8,141.7,150.8,181.2,162.3,120.0
18,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1843.0,2326.0,2620.0,2427.151797,2563.5968318,3202.1891169,4124.2017844,4479.408130100001,4184.879038,4556.4543475,4238.7612259,4488.2879701,4507.7297275,3791.32448,3857.847936
19,Belize,,,,,,,,,,,,,,,6.8,6.4,4.65,5.35,6.0,6.0,7.15,5.7,6.0,6.0,6.5685,6.8815,8.425,10.015,8.95,7.259381,10.53900691,17.2902951,17.765324,20.65304377,18.787175100000002,19.332237975,20.60862834,21.454975413000003,27.977571042,22.5089222,21.991807705,23.529361438000002,26.326846222000004,31.52321767,33.26979751,41.161362,45.202219
20,Benin,,,,,2.6879412,2.6643286,1.3308196,1.2088912,1.5111507,1.8427838,2.1204134,1.8989337,23.773132699999998,22.295348699999998,28.6939205,11.129339400000001,2.8876204,3.3273822,15.51696383,15.15133,20.687581920000003,20.727603,21.149125,21.458697,23.25178469,26.48450693,33.6153226,17.064455300000002,29.87701856,5.934716900000001,8.8795094,10.258669800000002,6.617041700000001,5.66241954,6.208772130000001,33.528091202,60.79097579799999,107.545529703,74.31355391,69.946969335,63.378672208000005,61.5512306,87.74695181999999,101.03379527,144.17126661,98.177445,
