,Migrant remittance inflows (US$ million),1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017p
0,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.68603884000001,152.20660764,342.06552589999995,185.34916210000003,251.73672340000002,313.75624810000005,268.0607452,301.173792,430.839232,479.33462762224747
1,Albania,,,,,,,,,,,,,,,,,,,,,,,151.8,332.2,307.4,427.7,551.3,300.4,503.87,407.6,598.0,699.4,733.14,889.0,1162.0,1289.704315926133,1359.4673249,1468.02,1495.0382542,1318.4762792000001,1156.0216821,1125.6645159000002,1027.0550448,1093.9227866800002,1141.68,1046.980032,1051.219968,1070.1419274240002
2,Algeria,211.0,238.0,227.0,225.0,202.0,266.0,255.0,349.0,393.0,417.0,406.0,447.0,507.0,392.0,329.0,313.0,358.0,487.0,379.0,345.0,352.0,1290.0,1390.0,1140.0,1395.0,1120.0,880.0,1060.0,1060.0,790.0,790.0,670.0,1070.0,1750.0,2460.0,2060.0,1610.0,2120.0,2202.0,2059.0,2044.0,1942.0,1942.0,2000.0,2000.0,2000.0,2000.0,2064.5436385902167
3,American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,5.142,,,,,,,,,,,,82.084,11.2043585,29.014037,11.2467511,11.087,11.087,30.97111927,11.114712,11.114712,11.411378261883282
6,Antigua and Barbuda,,,,,,,,,,,,,,,,,11.1851852,11.7444444,12.337037100000002,13.1962963,12.5333333,3.0481481,2.7148147999999996,11.629629600000001,11.948148100000001,3.3333332999999996,12.274074,15.9444444,22.2000001,21.8388888,20.6762962,27.0099993,17.575499899999997,19.70557,20.934959600000003,18.305488888888863,19.325720375,20.783287037,21.828402596,20.65871889,20.197666669,20.292610004,20.85622,21.127350737999997,21.127350737999997,21.127350737999997,21.127350737999997,22.59728956052954
7,Argentina,,,,,,,,,26.0,42.0,56.0,42.0,28.0,28.0,32.0,27.0,32.0,34.0,,,,,15.4,57.7,62.4,63.6,65.0,65.7,68.5,64.3,86.343659,190.1,206.53,273.52,311.69,432.09,541.3,606.43,697.56,620.58934993,644.30074,697.3795751,576.4830516000001,533.7806057,505.3468917,494.433536,541.726864,560.4503525165047
8,Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,65.35,83.86,135.74,92.41,94.65,87.47,94.38816,131.173,167.838,434.74698,915.2311617809429,1169.1730625999999,1644.3750905999998,1904.0671224,1439.8092316999998,1669.3368196,1798.6246921,1914.9839966,2192.193827,2078.6183145,1491.475904,1382.33088,1489.2598049015144
9,Aruba,,,,,,,,,,,,,,,,,,,,,,2.5698324300000004,2.62569835,3.35195527,3.91061451,4.413407800000001,12.122904720000001,2.01117319,3.01675975,6.7486033700000005,7.871508422000001,9.765363129999999,8.910614540000001,10.10055862,13.03910656,0.8198460962732416,1.03616600241,5.1955307264999995,6.7597765359999995,9.05027933,4.972067039,5.307262569500001,4.860335196,6.368715083,7.486033519999999,7.765363125,7.377094876179658,7.556182316394845
10,Australia,180.560002,176.424147,229.233894,280.535371,309.051099,286.591367,304.935539,326.97947,415.195647,495.0,632.0,741.0,771.0,900.0,956.0,1009.0,1052.91618,1399.0,1887.0,2406.0,2368.0,2487.0,1924.0,1102.0,1277.0,1651.0,2157.0,2117.0,1780.0,2028.0,1904.0,1782.0,1769.0,2325.0,2838.0,940.407766641078,1014.841491,1341.851616,1526.025147,1334.648953,1864.472761,2449.287569,2440.634975,2460.025874,2258.340296,2141.153792,2050.854272,1944.209849856
11,Austria,16.576922800000002,24.760213699999998,36.2481935,52.594651,80.947895,87.247398,105.288037,118.794359,154.221342,198.032503,244.96817,224.081214,221.039566,214.53396,197.688682,201.287478,302.825486,400.331322,448.606247,469.35656,634.806654,772.385455,815.0,769.0,845.0,2243.0,2068.0,1799.0,1810.0,1809.0,1809.0,1779.0,1983.0,2498.0,2526.0,2314.592276719761,2516.1862974,2916.1489867,3189.8744091999997,3099.130505,2984.1755365,3248.7352691,3029.2871041999997,3261.615417,3311.8693740999997,2846.099808,2880.629696,2979.0611536414467
12,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,6.294,54.492,57.132,104.0,181.39,170.847,227.263,623.235,790.214,1267.735,1518.327,1254.645,1410.296,1893.08,1990.18,1733.168,1846.424,1269.964,643.147984,702.0021683920756
13,"Bahamas, The",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Bangladesh,,,,,,,18.761275,78.87504,115.0,171.0,339.0,381.0,527.0,642.0,501.0,503.0,576.0,748.0,764.0,758.0,779.0,769.0,912.0,1010.0,1150.0,1200.0,1350.0,1530.6742218699999,1606.41127748,1810.122888,1969.4222773,2100.414042,2860.399458,3191.693943,3581.611416,4642.385283809969,5427.515429074,6562.316321625,8940.6116062,10520.6530055,10850.21161764,12071.07318448,14119.62703428,13866.95401966,14987.53147865,15295.535632,13559.36427,12854.277327959999
16,Barbados,4.4,4.6078839,5.1007643,6.3800883,8.1335226,9.2130902,9.65,10.0,11.7,14.2,9.1,11.05,9.05,8.45,10.4,8.15,10.8,28.2,31.95,32.0,37.9,45.15,54.5,55.35,57.2,60.9,68.2,77.0,87.4,99.35,115.0,131.0,125.061,130.5,130.508572,94.45542379999999,87.34842295,138.67418404,101.16065081999999,114.47608953999999,81.8687962,147.29326619999998,121.10839572999998,108.31719028999998,108.31719028999998,108.31719028999998,108.31719028999998,109.83568163267991
17,Belarus,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.4,28.5,350.3,294.5,314.9,209.0,139.6,148.9,140.5,222.2,256.0,198.6,268.2,288.3,583.3,503.8,575.3,890.6,1053.1,1213.5,1231.3,927.2,920.4,1215.8483999999999
18,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4673.54272,5986.047929,6866.688081,6887.659698418239,7266.03638964,8993.4497203,10479.6044877,10638.4060054,10350.5008061,11065.6480377,10625.766977399999,11234.1489987,11502.1336121,9789.574264,9867.25428,10150.754050243162
19,Belize,,,,,,,,,,,,,,,17.75,21.05,24.4,19.35,16.95,21.95,18.45,15.6,19.75,16.5,12.968,13.8965,17.25,22.7,23.4,26.2294045,26.424778,30.5436631,28.4302095,33.8469785,34.9645316,44.6933228446019,63.81195079,73.11926319,76.48900331,78.57840159999999,78.13456959,75.32355381999999,75.94564669,74.40171037,80.33441762000001,84.7440775,96.6710055,100.17646868180206
20,Benin,,,,,7.3824908360000006,17.591102,28.039281,39.181099,56.236076,72.921588,77.002245,62.006072,36.949997,43.845419,42.0659567,40.2882089,50.822119,60.225617,71.1167588,91.3364952,101.0494242,117.6481888,136.8362216,108.9361657,89.48195179999999,100.13434389999999,86.2081721,71.237248,90.32602680000001,76.64782619999998,87.0646991,83.602702,76.23084581,55.357850728,63.01335829170001,146.88090845232512,195.499968625,240.47566863999998,207.02526117300002,125.95028947899999,139.4330788,171.96045148,207.77543942,248.72982083000002,304.25396551,214.36342,207.07506371999997,248.90422659143996
21,Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1182.49,1450.138212,1390.7798670299999,1346.0669525899998,1261.4158003399998,1175.29144089,1190.7755271400001,1224.88639855,1335.68270957,1445.391610375,1430.010224,1487.6933011041663
22,Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2389335729999997,2.933039377,3.548930804,4.866701169,8.273480865,10.460534005000001,18.144730429000003,11.804283706,14.29234289,19.65650825,34.34345675,39.53088521848589
23,Bolivia,,,,,,,1.4,1.8,2.0,1.0,1.4,4.7,2.7,5.0,5.8,6.0,8.0,8.6,4.5,8.5,4.6,3.4,3.8,4.2,4.5,7.4,13.5,84.9,88.4,96.0,126.8,135.1,112.9,158.5,210.25,337.040056699114,602.9740707000001,1055.366582,1134.7184474100002,1057.93,960.21274675,1042.99664656,1110.5321468099999,1201.33947873,1176.9662484300002,1190.958174,1217.183691,1265.9218623548795
24,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2043.699531,1904.653523,1607.32901,1524.904859,1526.045065,1745.937067,2067.841106,2037.73194823597,2148.940834,2686.4155406,2717.6638743000003,2127.0330599,1822.3048465999998,1958.2301997,1845.7153763,1946.6410817,2107.1397242000003,1801.112,1831.361952,1907.2885803589538
25,Botswana,,,,,,43.136806,61.4100154,68.8869103,57.4770247,58.281732,77.3263859,74.575285,56.4263477,55.8834497,49.985622899999996,31.2735431,37.2509999,54.319960200000004,54.687019,49.3824501,85.5699673,83.50000940000001,93.9932929,74.2857733,69.8788727,59.158648799999995,50.117371299999995,48.157326226,43.40894716,33.82063814,26.245557259999998,25.9193394,27.150942679,38.872653543,91.52148,117.8918620424999,103.74741375,92.20036555000001,46.823207769999996,15.209037631,22.321291552,20.409870832,18.153950902000002,36.004335941,46.12310158,30.0455885,28.856317,31.03246953240196
26,Brazil,,,,,,82.0,81.0,61.0,113.0,73.0,111.0,124.0,57.0,29.0,46.0,40.0,40.0,42.0,32.0,120.0,573.0,1113.0,1792.0,1244.0,2064.0,3314.0,2531.0,1978.0,1642.0,1862.0,1647.0,1776.0,2448.0,2824.0,3577.0,2805.358,3287.162,3305.694,3642.585,2889.1595,3082.8018665,3214.602243,2784.072055,2717.6750687,2647.9085128,2896.909952,2739.786624,2660.3328119039998
27,Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,41.5,50.6,50.675833,42.52802,58.235451,826.0,1177.0,1721.0,1726.0,1612.912427005835,1716.4359806,1693.5531710999999,1918.6503342,1591.7946276999999,1447.72,1482.59,1448.88,1666.96,1684.74,1494.740032,1665.569984,1872.1006620160001
29,Burkina Faso,,,,,35.940308200000004,47.6546206,51.0231214,60.14742253,78.07463975,110.13632839,150.16092422999998,153.04048114399998,110.033474713,113.052484342,90.237781129,126.04674322599999,192.0,173.0,187.0,155.0,140.0,113.0,129.0,117.0,80.346943,,,,,,67.335109,49.9155226,58.7341359,53.74738970000001,44.417329,56.6422833408211,67.93588049499999,84.32464228500001,99.34005787000001,95.987539,120.34477150999999,220.77872700999998,209.99275541999998,308.38184858999995,395.78091003,395.78091003,405.67543278074993,453.9508092816592
30,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.041783995000000004,0.0715621616149133,0.01147097177,0.1899489405,3.645216677,28.23214776,34.498929509999996,45.463176871,46.43364909,48.639473900000006,56.262591431000004,51.034026,51.034026,57.71551083037184
31,Cabo Verde,,,,,,,,24.281503,23.602318,24.005557,40.0648,31.596889,25.852013,20.547993,20.617848,20.757016,27.56007622,36.425994,42.7420129,47.7004541,59.1403848,62.3665308,76.0129913,76.4913627,85.4536428,105.9154667,100.34971309999999,76.4165562,73.7415567,79.1026659,86.90597659999999,80.9471205,85.07968348,108.16825571,113.38886054000001,136.64879496257007,136.6123709851,138.8744660075,155.11148708789997,136.74857257640002,130.9531664997,176.7698116091,177.953318834,175.965459048,196.78792577000002,200.826434,220.7172,228.06944344645794
32,Cambodia,,,,,,,,,,,,,,,,,,,,,,,9.0,9.5,11.3,11.6,11.6,11.7,119.668,106.446,120.527,132.503,139.651,138.2655,177.4,163.7,183.7,185.8,187.918,142.2135,152.5420125,160.44411309999998,172.1060236,175.95,376.75084169999997,400.019008,370.593216,388.74196240030034
